SHA,start_date,end_date
982ce9c56af6a19468ddcb445650eb154b0c884c0b103a1234247fb794acd2fb,2022-01-12,2022-04-12
d58779c3313ef2f32bb4287da6bb8490571319688c4f2d0c594f5346e89bba27,2022-01-12,2022-04-12
9e350aeb943ff7420799ab5f65b5dcee725ed2153b7cb3e4b035ef491bacebbb,2022-01-12,2022-04-12
0995d38a76086345a84127776d86044b7de10d3c809bcf4dbed27f0102c117fe,2022-01-11,2022-04-11
efa477b09feb8936b593db843bf48241e1a65959b4816cb35e9e891514845a57,2022-01-11,2022-04-11
2c79171cda71e7252a08d754e952a33f7938950b4c3d62740f7e140418ad0410,2022-01-12,2022-04-12
2530563872a30bc5c19409060159cf74dc75a65883870f7abe173ee57470e404,2022-03-13,2022-06-11
9abb50360e49d1f85369209cc689a53cd4cbe766b7e18374c032fb97f1eeae2a,2022-03-12,2022-06-10
31296f386ad1d33d0c672da6724abb11cda93f6620867749498e0998a539e2ca,2022-03-13,2022-06-11
c6634e8f78809e38efa0882000ad4d38c0aa7a7277641eac7e1b06d27a67f96d,2022-02-13,2022-05-14
6f951aa289167c5b2bff57d1f87844cff509553e0c211011c24b5b69deea594e,2022-03-13,2022-06-11
fba7e5d651ac0a4a1f4a26d1518e9c0f06003a9f2aa99a5c3286961d6c7ebae7,2022-01-11,2022-04-11
cb2dcfb9d1d01c00d8a6a6893cb7d8ba007add8ac35ffea2deed36f1087c52cf,2022-03-13,2022-06-11
0b64a7fb05f34ae81c12a8c665650497c8c6afe303050e37d7f748c2cb974907,2022-02-13,2022-05-14
fc738edad84d84e7e9b2022a61889758f65b26ef084e182053775f599d0b7dbb,2022-01-20,2022-04-20
82eda90c626112e8c2480db7a0e4d7bf9065f0e9415110ef165d235fc8b534cc,2022-03-12,2022-06-10
700d32536ad96931b231505802cc6b524b87b19e5344b1745abd9924c1594784,2022-03-12,2022-06-10
a2f8e687752c313d0496ba21451932370ec37c7274db4f19697299104b9392f7,2022-01-11,2022-04-11
6c5200e2488d83e801d4fdd6ee2cc0fe669f557441f1dd561d54fea9ca49aed9,2022-03-09,2022-06-07
fa9df8928cb64781ab065118c3958e6b6a61b0d59395572777d229d57f75c70d,2021-05-15,2022-05-14
5ec19dd0a1836fa4b20c3fed4355707d23e7433392fdfebd4b0e06177bf18c79,2022-03-23,2022-06-21
efe297916af357020fb837c4f2506057b67d78a95d97b85b757bed3c3f922c54,2021-05-15,2022-05-14
f95562da1dd127b5ba1c6e5672a0cacf24d2439a288a59ada3c8eb33bb0c92e7,2022-02-21,2022-05-22
16306c9ccc4e612701842a7885ef2524e456292e8fff341d065eac6db7d458bf,2022-01-24,2022-04-24
11ad8c3fc2ea5e6df34b40274b7d22f68fb79efe80caecfbc923f9a9c985c468,2022-01-30,2022-04-30
9e2ad64b475fce1fed0a923834f8748377a7b00181a2fff193ec1d8bbada4b85,2021-05-15,2022-05-14
16e14527b1926ba859a48cefdb76161702f76ae43c795bd2b022119b6092835f,2022-01-30,2022-04-30
ba46a8a9226df1e1cfb95cd16fee19eab1c9282445fac7981ea8d8f19da8c6d8,2022-03-09,2022-06-07
664d60066ed1c4cbff30a2d11de57e42806395ea9fc96bd9d0dc5e356826912a,2022-01-21,2022-04-21
ae2759cf608787427ba9238f6b96c82e3ce750b201f25a3e9134a0f64306544a,2022-01-30,2022-04-30
594844bc56d4280b7cf1de35caaada34de43fb975d43f64c3d9e8ee97a70b438,2022-03-22,2022-06-20
6c09ae78f70c48c53e964d5fb642005564da7c2737b5854ed793212d4a1002af,2022-02-21,2022-05-22
4738ef3d5a4bc76807d72762f8028898f514ff82eb2c3e36989e11facc0243f0,2021-05-15,2022-05-14
90fa7a8a971cd327be29c7b26ecc80922ae68da7020d0d15b23623bf1ce11f80,2022-03-08,2022-06-06
cf98a58972bcac21ff1ede2390583bc97c7c2419cf33838d842ed59006e77bdd,2022-03-22,2022-06-20
1ef564c9834be9ddf51ef6bf10c2520a7f9f220132f21c7a51a0ce51ebe2c069,2022-03-08,2022-06-06
f1b56bdeabbd73c53430e7552353a8ad0fdfc2ab03d793e79e433ab11a2cf7a8,2022-01-04,2022-04-04
a5cfdd81aef8a859bba0829f3be4333556499bf9b560f2cc033f3a47dbee8820,2022-03-22,2022-06-20
3a520c22aaac3222a981b98584f4817d462dbb8e439f9ddbb2436d7d9924f543,2022-01-30,2022-04-30
e8b6acb61047f0ca3f0d878202d809954306ea3799e20457229cfb44451d9d79,2022-03-22,2022-06-20
a95e6f9787a3e83392b96a63c90ee50361fd49ae7d7d54ba3db3eb5f5993f4b1,2022-01-21,2022-04-21
7ddc54326399c6cf99e31a0dd2a49f8d4267d18da3728284d8018c0c0150eb3e,2022-02-10,2022-05-11
3bcdeadddec60d32b9a1c7ab2d0e8740db7d2304c20ec7058709fc23ce902821,2022-03-12,2022-06-10
7b680496c3f0c8444ff736a09121de571c05eacff7afaca0bee6705a57ef91b7,2021-12-23,2022-03-23
6059453acfa2d635cfccb59cd392aeae72a29213a95fdf567baaf9dc972c2c5c,2022-01-21,2022-04-21
50deed079033867e8e3015c583de192f015e1616154fb75ae5c6069e5c78e176,2022-03-09,2022-06-07
9d427f71e8f8ef8f3b52559c8a8bef1d7d0f74d8fde3180f81ad3c3bac48bb24,2022-01-24,2022-04-24
54b4f87d4894dd425f83c491f228d2502b54058540e3e2cc5d7d6e06ef6886a6,2022-01-20,2022-04-20
21c2604f3f0fb2d406709828c8c3fe2979f9ac894c28dcdcf80b6420b22ad45e,2022-01-21,2022-04-21
18ab82621e08e21cfceea6ea68253ddc711e6c2742acfc560dd7213f80965470,2022-01-21,2022-04-21
bedb10a751ee5ce49b12251b1e31f34e6cab9f42afac7b6bfc13338bc83cc1c6,2022-03-14,2022-06-12
4cb9da65707bd3b543d861d27a4587b063938a74a22efb324db76847372e60db,2022-01-04,2022-04-04
2e89a05074eaffbb81e31e5b2a49355394142911dc63672d544794f2c00a5a91,2022-01-21,2022-04-21
1f9afb54354a037d6c7ddc62eba5240f1cbbef3a3ad3efabb18f0c0f334e53fb,2022-03-23,2022-06-21
8dfcc1ec8f438cae904649922f023f825d8b40a70106c2073b0b4e8c9ec42a8c,2021-05-15,2022-05-14
aae5ead15d6a4a115a4e20a7a62a2f46fe12e52398c7bb08692259b673e0477c,2022-01-11,2022-04-11
015a06b2e55f04c0e7b263070a07300a164f603cd87ea36dd649b5792a490a8e,2022-01-21,2022-04-21
7c5230deadc74a05f1d6de1191b933afc22593235691b046cfcb462130ef4ecc,2022-03-22,2022-06-20
70931c1def29f3897ee8ad019eae114269439aed25fd2cc91c1427439b1b31be,2022-03-09,2022-06-07
b3a0fbecd617e3f535bb2aff5bd810203d1b857c823a9bc543185f485877dfda,2022-03-22,2022-06-20
b417008abbb428d0dd9b05ed0b93ba90c78823f22b9c56dff83c1d561f7dac15,2022-01-21,2022-04-21
78ad4a1234751c304b6497c140bb8139181ea8a963f09749d7fa12c222441590,2022-01-10,2022-04-10
75777183d9eeae44a6814623bdc1880593dbe3b581ccf4731261d2155d507ebe,2022-01-11,2022-04-11
592caae11d484b07f3fb02c19b6dc669ad4e14b4b168d72078a3300cdabafc45,2022-01-21,2022-04-21
56ecef6150cbe538a242f43f9c1264d9b07d3966ec922c28b8865918eb4f9ba1,2021-05-15,2022-05-14
89a31d93b7802da49bd481b94030c3bff5fc9fced7ebbf72978cada5bceafd1c,2022-03-22,2022-06-20
74b35d5bf54c8b429b0e4ff8c27741df4d09679aa7b47d12bcdd0ff20e99b0b7,2022-02-10,2022-05-11
ed7b604cf20d95e2c259587d9304dd03151b528f4a8fb61577a55537635fd8c1,2022-01-21,2022-04-21
0e04498222a544331ea034edda76433d2a16bef9182de1478e340057759ae62a,2022-01-04,2022-04-04
e33d79adf4703fdcf3035707a977184ada96fdf357e9c311f1b13265b94400db,2022-01-31,2022-05-01
0d2871aa1f835a875f3eae81c974847f5527b361081fcc08b11cc730876aa9be,2022-01-18,2022-04-18
ea3a9bb5a7ffa7a3d46a55c76d0883166af01efe07d25be6e2d8b3be08979dc1,2022-01-21,2022-04-21
ec8ed617033ad118d89bcf43ebdf7ab9538470114dfdcb69b52cb02c12dfb242,2022-01-10,2022-04-10
8ad7e46d942a16081093699d0162f6f90598f47c2795f06e0cc3bdd617d99a87,2022-01-16,2022-04-16
8223695a16ca50d46eda96668080dc22757c617eb7c10915113b78d94e4a5da3,2022-03-22,2022-06-20
4e2dd3d7fca34c4568c807a1282806365148110c759ee28d8f00bc54c2416465,2022-01-04,2022-04-04
d91939d00698630f3ec089a0960e61fa1e4c4643da087845f3a136c567f5b178,2022-01-18,2022-04-18
c450839c6ea0214fcc6c084b2ec8a2b03bec3e2c7c7e4f67a6c8110ba8806cfe,2022-01-21,2022-04-21
1396f5851eef5c77b4f796f5fe5a1ea70742699d5eb386e66d69f7d648e3c153,2022-01-04,2023-02-01
ce4b0e92ad24dae62e5e15e4c51d5338e113e033356400a92a3c203ed8e60cc8,2022-01-21,2022-04-21
90814bd0868b1c661dd4e856dd8cd6548cd7d59d45927f6b4db35eccd2c7a342,2021-12-26,2022-03-26
bc8ac7f6143c73748c725fca300fcf60bd8693b244c92ad4c55582351b5374ac,2022-01-16,2022-04-16
71ef3685db82b2f63bbe4b589677f728833f650a9bbf26d7a24bfbcd1bfc6be3,2022-02-12,2022-05-13
cfaf7bfa9bc6202a51f72b9e97a8773a0a4e37f44b4b396af852440dde329509,2022-01-21,2022-04-21
671172b1f8cd82b7b7aad0ec3392f16d6d9da3265cf6e28fbb1e2e6208cec540,2022-03-19,2022-06-17
4a5485e1c4d135100fe1bf43d07a7a2014f684736e6c3a62574b2e656e2fff24,2022-01-21,2022-04-21
bcf38cb1d22ca05bd8b99b5f0bbffe55f174f681d64bc72aeb1c4c6d3ea20ffc,2022-01-10,2022-04-10
2d3d92cf8798bcd59626cac8ba5a248d1b1909582e27963d43fd03353a69e94c,2022-02-10,2022-05-11
b0ed85712d4e1518033fc9530c91d0ed8ddf94e74ccde46b0a9ef50603710fd9,2022-01-18,2022-04-18
97ace67433abf974a2e5e5f45056d462cc57c42f5c242b9bed2357ea07514abb,2022-02-22,2022-05-23
f5ec4f00c37a0e8d839c6a496d7446d744ed1feacee40230830924d45f193d09,2022-01-29,2022-04-29
1bde0374fe121b83eaee5305043961e39057cdab9f2a5114e709f008c0a3b208,2021-12-26,2022-03-26
f729ecb74a03103a483533240fbbe3056901098cb09471bbb601ce991ef3aa78,2022-01-18,2022-04-18
135f3bf20371e399da593ed046900ac7d8b7fa8f1d82f1e8c60e9015fd660046,2022-01-22,2022-04-22
6bd47c2f25b59dfa1ec1c28f024dfe0cf113eb124190e89c1299fa3406ac22b4,2022-03-19,2022-06-17
8f4802d6bd3b9f27b5a022da8aa72e29a8745a8d2e31afc121ce70c6c677545e,2022-01-21,2022-04-21
5e2805eea19947b7cf1c28837c923ee52f32da521b7271478a2137af918f3f04,2022-02-24,2022-05-25
540c9eb45e536c0beb002b577d5c10ab8cd070f14482ee16c2f5860dbc9a90c2,2022-01-21,2022-04-21
f12afdb7722373d341be07ec6c016a349549e0f7c72a0c3e95d087ae38d1828a,2022-01-22,2022-04-22
ebf6068a419861a1be8e4d78a558791e71b3770d982aba0b60feb36221702d9c,2022-01-11,2022-04-11
c904a9ebddcbc3d9d1f082edab97efdf10863dd6eaee177f679f1ba5728fa189,2022-01-21,2022-04-21
dbc1d8f5dd327310fdbf30d9863a515564b27ac6835a978e1060b232e9c4ce40,2022-01-21,2022-04-21
15b039b80b0a3ecd2173fa015dfdc81b39d62ac576c3c0ed2d49e8ea13df2a13,2022-03-12,2022-06-10
fd61667515d63dc07e2415769ba73bf5dfb2c810dbcd9e27c981db89eb085960,2021-12-25,2022-03-25
28016ff42fca3c7ab92d5f7bff82cccc8ecd6645570ce4b23564029d1a157ea8,2022-02-24,2022-05-25
4dd7139bb7d70b4ea0b1c4716fac8e5326bfec63c8a6ddf6437cfcae82a6664b,2022-02-24,2022-05-25
7913a03eef75fb562c5ad921df189f687f1d3f67948730d23bb32b81f5d401d8,2021-12-25,2022-03-25
438860910edf5bb583bb822d3696e5af88a0f44586da790600423880928a4ec0,2021-12-25,2022-03-25
18a8c3c7dc9f0283eb38337753718fe0d3eacf7a9c24dbea4b561e0457a9a2c1,2022-03-19,2022-06-17
bb2b45680745b58d827e4b41f3382241761b16faf388384e53f9a2a30f8d2964,2021-12-26,2022-03-26
83214e977bba0060da7f028583d3fda2c679c1f3e6b7db3249a2d121d421519f,2022-01-21,2022-04-21
40ceeef515cf845e72719f526319143166b4070ab553ee371cfee52ded3c5002,2022-03-19,2022-06-17
0f0a775922f8fd6e9bac0e07e4050989c7d064f06cb16a616c68efef99cd38d6,2022-03-14,2022-06-12
f3cf2182f50dbf3d79f62d4bb722dd21fe840f4dd1eb9e38f452e9c878763900,2022-01-18,2022-04-18
1e5d2f4866f3312814584b737ad0bb966ae32cd94ba50623f5258b37f43b8f51,2022-01-18,2022-04-18
de97e4b8ea937a5fb0c2f4f18be644383c5c1283bdf9c3bcce8582cff5acc40f,2022-03-12,2022-06-10
3015fdc9d2dbe7cb58e78b34a89c41dfc54402da20a8e60e3ec12f11847f9c79,2022-02-23,2022-05-24
f0921a810891323caf18502d6ac18a4c55e82cd83a763f3a27ad96d015267f2e,2022-01-18,2022-04-18
d51f3c37201bd606742386bc93a3e895d7c225ed5d27863fe2f8cf40f2411bb6,2022-01-18,2022-04-18
d589a4922e93826e086009cc990cbd7829e9f25762eeeefa2f6702b5eb86d3f1,2022-03-19,2022-06-17
5877ac329e4f992e69cee4b8aeec248fb0ff0c1ff4e7ee5898ac993e55fd976e,2022-01-29,2022-04-29
0d08fa9cdafe310ff733bbfc102ab2c42c974aa83d07570a686880acefb212d1,2022-01-30,2022-04-30
0edad41fb4552a98afdc148822bbaf8a87320d411d2e60438793b07effdd7f12,2022-03-19,2022-06-17
